                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.6997,                 2.6551,                 2.7083,                0.59215,                0.64465,                0.66316,                0.41878,                 2.8116,                 2.2474,                 2.8832,              0.0011059,              0.0011059,              0.0011059
                     36,                 2.6441,                 2.4954,                  2.646,                0.65615,                 0.6404,                0.66449,                0.43042,                 2.7003,                 2.2409,                 2.7331,              0.0010894,              0.0010894,              0.0010894
                     37,                 2.6677,                 2.6028,                 2.6865,                0.60363,                0.63846,                0.65648,                0.40114,                 2.8453,                 2.3531,                 2.9182,              0.0010729,              0.0010729,              0.0010729
                     38,                 2.6526,                 2.6316,                 2.6949,                0.58692,                0.65192,                0.64915,                0.39383,                  2.815,                 2.3751,                 2.8642,              0.0010564,              0.0010564,              0.0010564
                     39,                 2.5899,                 2.5181,                 2.6556,                0.73513,                0.67124,                0.68942,                 0.4319,                 2.7707,                 2.0196,                 2.8344,              0.0010399,              0.0010399,              0.0010399
                     40,                  2.674,                 2.5849,                   2.71,                0.70855,                0.70241,                0.71772,                0.43709,                 2.7155,                 2.1093,                  2.843,              0.0010234,              0.0010234,              0.0010234
                     41,                 2.5751,                 2.4609,                  2.638,                0.71076,                0.67235,                0.71517,                0.44041,                 2.7861,                 2.1124,                 2.8727,              0.0010069,              0.0010069,              0.0010069
                     42,                 2.6011,                 2.4793,                  2.654,                0.66026,                0.62091,                 0.6729,                0.43049,                 2.6499,                 2.3384,                 2.7613,             0.00099036,             0.00099036,             0.00099036
                     43,                 2.4912,                 2.3703,                 2.6012,                0.69584,                 0.6916,                0.74246,                0.45664,                  2.738,                 2.0043,                 2.8695,             0.00097386,             0.00097386,             0.00097386
                     44,                 2.5565,                 2.3716,                  2.617,                0.69423,                0.68812,                0.71142,                0.44797,                 2.7422,                 2.0263,                 2.8497,             0.00095736,             0.00095736,             0.00095736
                     45,                 2.5332,                 2.3935,                 2.6281,                0.73631,                0.68184,                0.71054,                0.44193,                 2.8029,                 1.9601,                 2.7975,             0.00094085,             0.00094085,             0.00094085
                     46,                 2.5036,                 2.3343,                 2.6039,                0.76454,                0.69836,                0.73079,                0.45974,                 2.7309,                 1.8929,                 2.7981,             0.00092435,             0.00092435,             0.00092435
                     47,                 2.5105,                 2.2822,                 2.5891,                0.76057,                0.73068,                0.73944,                0.47113,                 2.7277,                 1.8499,                 2.8185,             0.00090785,             0.00090785,             0.00090785
                     48,                 2.4759,                 2.2937,                 2.5642,                0.80568,                0.62969,                0.70788,                0.45861,                 2.6076,                 1.9993,                 2.7027,             0.00089134,             0.00089134,             0.00089134
                     49,                 2.4371,                 2.2107,                 2.5423,                0.73961,                0.68999,                0.72754,                0.45479,                 2.6421,                 1.9319,                 2.7183,             0.00087484,             0.00087484,             0.00087484
                     50,                 2.4659,                 2.2667,                 2.5563,                0.73486,                0.67516,                0.71546,                0.45806,                 2.6401,                 1.9667,                 2.7257,             0.00085834,             0.00085834,             0.00085834
                     51,                 2.4286,                 2.2517,                 2.5462,                0.72626,                0.63886,                0.69362,                0.45231,                 2.6647,                 1.9812,                 2.7529,             0.00084184,             0.00084184,             0.00084184
                     52,                  2.439,                 2.2589,                 2.5479,                0.70189,                 0.7205,                0.71752,                 0.4795,                  2.556,                 1.8307,                 2.7248,             0.00082533,             0.00082533,             0.00082533
                     53,                 2.4035,                 2.1974,                 2.5305,                 0.6829,                 0.6876,                0.71139,                0.46693,                 2.6454,                 1.9741,                 2.8095,             0.00080883,             0.00080883,             0.00080883
                     54,                 2.4368,                 2.1515,                 2.5467,                0.70505,                0.67903,                0.75083,                0.47974,                 2.7361,                 1.7704,                  2.856,             0.00079233,             0.00079233,             0.00079233
                     55,                 2.3621,                 2.0659,                 2.4911,                0.71788,                0.69311,                0.75078,                0.48374,                 2.6918,                 1.7843,                 2.8182,             0.00077582,             0.00077582,             0.00077582
                     56,                 2.3784,                 2.1255,                 2.5043,                0.76056,                0.63905,                0.75068,                0.49348,                 2.5267,                 1.8292,                 2.6737,             0.00075932,             0.00075932,             0.00075932
                     57,                 2.3515,                 2.0905,                 2.5096,                0.76246,                0.66639,                0.73843,                0.47742,                 2.6875,                 1.9139,                 2.7681,             0.00074282,             0.00074282,             0.00074282
                     58,                  2.342,                 2.0476,                 2.4734,                0.73074,                0.70325,                0.73134,                0.47669,                 2.6341,                 1.8216,                 2.7325,             0.00072631,             0.00072631,             0.00072631
